month,rate
2021-01,710.0
2021-02,734.3
2021-03,723.4
2021-04,720.0
2021-05,710.2
2021-06,722.4
2021-07,731.8
2021-08,756.15
2021-09,775.35
2021-10,810.33
2021-11,813.0
2021-12,826.88
2022-01,851.5
2022-02,800.23
2022-03,798.7
2022-04,786.28
2022-05,852.01
2022-06,823.71
2022-07,916.25
2022-08,900.6
2022-09,896.5
2022-10,967.51
2022-11,943.0
2022-12,890.0
2023-01,847.75
2023-02,795.66
2023-03,826.96
2023-04,794.39
2023-05,806.5
2023-06,809.63
2023-07,801.23
2023-08,840.23
2023-09,851.75
2023-10,890.65
2023-11,895.53
2023-12,870.2
2024-01,871.86
2024-02,930.28
2024-03,966.28
2024-04,979.27
2024-05,957.51
2024-06,918.58
2024-07,942.05
2024-08,942.8
2024-09,913.52
2024-10,897.41
2024-11,960.94
2024-12,960.95
2025-01,993.35
2025-02,987.9
2025-03,940.61
2025-04,940.68
2025-05,950.73
2025-06,921.76
2025-07,931.14
2025-08,972.2
2025-09,965.96
2025-10,961.26
2025-11,928.79
2025-12,927.57
2026-01,899.64
